id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,log_price,density_proxy
9117000170,20150505T000000,268643,4,2.25,1810,9240,2.0,0,0,3,7,1810,0,1961,0,98055,47.4362,-122.187,1660,9240,12.501142362015882,0.17965367965367965
6700390210,20140708T000000,245000,3,2.5,1600,2788,2.0,0,0,4,7,1600,0,1992,0,98031,47.4034,-122.187,1720,3605,12.409017571151187,0.47711511789181693
7212660540,20150115T000000,200000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,1994,0,98003,47.2704,-122.313,1870,7455,12.206077645517674,0.25083836351441985
8562780200,20150427T000000,352499,2,2.25,1240,705,2.0,0,0,3,7,1150,90,2009,0,98027,47.5321,-122.073,1240,750,12.772805901234461,1.6533333333333333
7760400350,20141205T000000,232000,3,2.0,1280,13356,1.0,0,0,3,7,1280,0,1994,0,98042,47.3715,-122.074,1590,8071,12.354496960983985,0.1970016107049932
464001025,20140918T000000,722500,4,3.5,2600,5100,2.0,0,0,3,8,1820,780,2003,0,98117,47.6948,-122.395,2000,6720,13.490474083050811,0.2976190476190476
3432500486,20140623T000000,299995,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,1951,0,98155,47.7463,-122.315,1850,8291,12.611524420216115,0.22313351827282596
1126059095,20140526T000000,880000,3,2.0,2130,35169,1.0,0,0,4,8,2130,0,1989,0,98072,47.7489,-122.123,2860,43560,13.68767832281738,0.06565656565656566
3876500290,20150305T000000,175000,3,1.0,1070,6164,1.0,0,0,3,7,1070,0,1967,0,98001,47.3377,-122.291,1320,7920,12.07254696717504,0.16666666666666666
1865400075,20140522T000000,320000,3,2.25,998,844,2.0,0,0,3,7,798,200,2007,0,98117,47.6983,-122.367,998,1110,12.676079399771027,0.8990990990990991
2558690150,20140707T000000,475000,5,2.5,2510,8050,1.0,0,0,4,7,1490,1020,1977,0,98034,47.7212,-122.172,1840,8471,13.07107218827772,0.21721166332192185
7154200070,20141124T000000,995000,5,3.25,3970,8029,2.0,0,2,3,9,2970,1000,1979,0,98177,47.7764,-122.385,2520,8214,13.81049902116535,0.30679327976625276
4139490210,20140730T000000,1285000,4,3.5,4080,14450,2.0,0,2,3,12,3210,870,1998,0,98006,47.5519,-122.106,4080,12114,14.06627005452127,0.3368003962357603
9264901040,20140516T000000,239900,4,2.25,1860,7000,1.0,0,0,3,8,1120,740,1979,0,98023,47.3127,-122.339,1990,8937,12.3879816172226,0.22266979970907463
4273000095,20150511T000000,340000,4,1.75,1400,8374,1.0,0,0,3,7,1400,0,1953,0,98166,47.4735,-122.344,1420,8360,12.73670383776449,0.16985645933014354
8691410310,20150213T000000,680000,4,2.5,3290,6012,2.0,0,0,3,9,3290,0,2005,0,98075,47.5961,-121.98,3210,6005,13.429849547739444,0.5345545378850958
6601200020,20150127T000000,235245,4,2.5,1954,5075,2.0,0,0,3,8,1954,0,2007,0,98001,47.2606,-122.253,1934,5000,12.368387054114972,0.3868
8663260030,20141118T000000,416000,3,2.5,1800,5372,2.0,0,0,3,8,1800,0,1987,0,98034,47.7188,-122.177,1650,6014,12.938442943086665,0.2743598270701696
7016300050,20140723T000000,420000,4,2.5,2030,8100,1.0,0,0,3,7,1150,880,1973,0,98034,47.7404,-122.186,1770,8071,12.948012371209098,0.2193036798414075
7968460240,20150211T000000,257000,3,1.75,1330,36537,1.0,0,0,4,7,1330,0,1989,0,98092,47.3126,-122.129,1650,35100,12.456835254920371,0.04700854700854701
3918400017,20150205T000000,380000,0,0.0,1470,979,3.0,0,2,3,8,1470,0,2006,0,98133,47.7145,-122.356,1470,1399,12.847929163278053,1.0507505360972123
4046500270,20140819T000000,399000,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,2010,0,98014,47.6907,-121.917,1860,18452,12.896719202134523,0.10080208107522219
7849202296,20150130T000000,339900,3,2.5,1470,4675,2.0,0,0,3,7,1470,0,1999,0,98065,47.5261,-121.827,1500,4385,12.736409677721657,0.34207525655644244
8585400135,20141105T000000,585000,4,1.75,1760,5356,1.0,0,0,4,7,920,840,1950,0,98115,47.679,-122.288,1680,5184,13.279368835614243,0.32407407407407407
6163900411,20141003T000000,310000,2,1.0,1050,8220,1.0,0,0,4,6,780,270,1947,0,98155,47.7598,-122.316,1340,7651,12.644330802262578,0.17514050450921448
2558640110,20140514T000000,498000,4,2.75,2270,7375,1.0,0,0,4,7,1290,980,1973,0,98034,47.7222,-122.168,1750,7760,13.118357364036902,0.22551546391752578
9834200885,20140717T000000,360000,4,2.5,2080,4080,1.0,0,0,5,7,1040,1040,1962,0,98144,47.572,-122.29,1340,4080,12.793862088206213,0.3284313725490196
3876600120,20150422T000000,265000,3,1.5,1780,10196,1.0,0,0,4,7,1270,510,1967,0,98001,47.3375,-122.291,1320,7875,12.487488878546145,0.1676190476190476
8691330260,20141208T000000,820000,4,2.75,3540,13515,2.0,0,0,3,10,3540,0,1998,0,98075,47.5945,-121.982,3540,11538,13.617060838751888,0.30681227249089965
5416500980,20140729T000000,419900,4,2.5,2750,5767,2.0,0,0,3,9,2750,0,2005,0,98038,47.3595,-122.038,2800,5376,12.947774248188859,0.5208333333333334
809002610,20140718T000000,485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,1909,0,98109,47.6368,-122.355,1890,3000,13.091906231773164,0.63
1778500595,20150413T000000,683000,5,1.5,1720,4000,1.5,0,0,3,7,1520,200,1925,0,98112,47.6197,-122.287,2280,4000,13.434251602680698,0.57
1220000367,20140716T000000,320000,3,2.5,1820,1855,2.0,0,0,3,8,1570,250,2008,0,98166,47.4643,-122.346,1470,6900,12.676079399771027,0.21304347826086956
7504020670,20140520T000000,598000,5,2.25,2890,12478,2.0,0,0,3,9,2890,0,1977,0,98074,47.6295,-122.052,2570,11880,13.301347705172173,0.21632996632996632
3630110370,20140624T000000,420000,3,2.5,2140,3821,2.0,0,0,3,8,2140,0,2005,0,98029,47.5541,-121.995,2860,3841,12.948012371209098,0.7445977609997396
2490200620,20140811T000000,535000,3,1.0,1660,5100,1.0,0,0,3,7,1260,400,1957,0,98136,47.5323,-122.383,1230,5100,13.190023895035274,0.2411764705882353
1775801340,20140606T000000,415000,3,1.75,1910,12596,1.0,0,0,3,7,1340,570,1977,0,98072,47.7399,-122.099,1550,13310,12.936036208848487,0.11645379413974455
1683600240,20150320T000000,234975,3,1.75,1650,8073,1.0,0,0,3,7,1100,550,1980,0,98092,47.3187,-122.182,1280,8073,12.367238660251337,0.1585532020314629
1180002378,20140926T000000,299000,4,2.5,1950,3000,2.0,0,0,3,7,1950,0,2002,0,98178,47.4977,-122.226,1170,6000,12.608202196848836,0.195
7955050170,20150410T000000,455000,3,2.25,1790,7500,1.0,0,0,3,7,1390,400,1973,0,98034,47.7321,-122.198,1940,7192,13.02805489573287,0.26974416017797553
7518507580,20150502T000000,581000,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,1909,0,98117,47.6784,-122.386,1560,4586,13.272507757002963,0.340165721761884
1441600020,20140527T000000,960000,5,4.0,3720,15200,2.0,0,0,3,10,3720,0,2005,0,98075,47.5956,-122.026,4100,19036,13.774689605110144,0.21538138264341247
5101408599,20140611T000000,465000,4,1.75,1470,5350,1.0,0,0,3,7,980,490,1955,0,98125,47.7048,-122.315,1970,6138,13.049794835104816,0.32095144998370806
1370803940,20141007T000000,485000,3,1.0,1130,5758,1.0,0,0,3,7,960,170,1939,0,98199,47.6413,-122.401,1510,6000,13.091906231773164,0.25166666666666665
3342700371,20140609T000000,539950,3,2.25,2190,7149,1.0,0,1,4,8,1240,950,1963,0,98056,47.5243,-122.204,3500,7149,13.199233673682526,0.4895789620926004
3668000070,20150105T000000,212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,12.264346270624157,0.18489583333333334
8562720390,20140825T000000,1050000,4,4.0,4320,8709,2.0,0,0,3,11,3190,1130,2006,0,98027,47.5369,-122.07,4010,8321,13.864301674514206,0.48191323158274246
9835801000,20140625T000000,245700,3,2.25,1640,8400,1.0,0,0,3,8,1180,460,1968,0,98032,47.3733,-122.289,1600,8120,12.411870628505058,0.19704433497536947
8856890020,20150224T000000,265000,3,1.75,1680,9769,1.0,0,0,3,8,1340,340,1989,0,98058,47.4631,-122.126,1730,9686,12.487488878546145,0.1786083006400991
9324800025,20141125T000000,325500,3,1.5,1540,8110,1.0,0,0,4,7,1190,350,1959,0,98125,47.7329,-122.291,1290,8110,12.693120812822663,0.15906288532675708
9257900010,20150422T000000,499900,4,2.25,2360,7650,1.0,0,0,3,8,1640,720,1963,0,98155,47.75,-122.292,2320,11060,13.12216535779974,0.20976491862567812
9136103026,20150305T000000,539000,3,1.75,1380,3225,1.0,0,0,4,7,940,440,1915,0,98103,47.6652,-122.338,1250,3750,13.197472705176983,0.3333333333333333
4213910030,20150401T000000,550000,4,2.5,1670,5116,2.0,0,0,3,8,1670,0,1999,0,98155,47.7667,-122.33,1910,7210,13.217675375388819,0.26490984743411927
2923500010,20150114T000000,757500,5,2.25,3160,8065,2.0,0,0,3,8,3160,0,1977,0,98027,47.5678,-122.089,2540,7917,13.537780136496803,0.32082859669066566
461002025,20150501T000000,501000,2,2.0,1300,2500,1.0,0,0,4,7,770,530,1926,0,98117,47.6831,-122.373,1160,5000,13.124363376072994,0.232
9277700075,20140818T000000,355000,2,1.0,840,6720,1.0,0,0,3,7,840,0,1952,0,98116,47.5707,-122.396,1250,6720,12.779875885354993,0.18601190476190477
7853361120,20140729T000000,530000,3,2.5,1970,6295,2.0,0,0,3,7,1970,0,2011,0,98065,47.5158,-121.874,2710,6009,13.180634172318978,0.4509901813945748
1788700070,20140627T000000,170000,2,1.0,810,8424,1.0,0,0,4,6,810,0,1959,0,98023,47.3286,-122.346,820,8424,12.04355959836804,0.09734093067426401
5411600020,20150304T000000,702000,4,2.5,2810,4922,2.0,0,0,3,9,2810,0,2005,0,98074,47.614,-122.041,2920,4922,13.461690107508359,0.5932547744819179
1561900180,20150311T000000,395000,3,2.5,2300,8938,2.0,0,0,3,9,2300,0,1989,0,98031,47.4181,-122.211,2570,9694,12.886643575525625,0.26511244068495976
3300701440,20140729T000000,409000,2,1.75,1480,4000,1.0,0,0,4,6,740,740,1925,0,98117,47.6916,-122.38,1060,4000,12.921472880009725,0.265
7853230590,20141029T000000,435000,4,2.5,2190,6578,2.0,0,0,3,7,2190,0,2004,0,98065,47.5305,-121.847,2190,5416,12.983103608918753,0.404357459379616
3601800580,20141021T000000,250000,4,2.0,2600,9000,1.0,0,0,3,8,1410,1190,1959,0,98032,47.381,-122.299,2600,7200,12.429220196836383,0.3611111111111111
1438000390,20140804T000000,469995,4,2.5,2350,3800,2.0,0,0,3,8,2350,0,2014,0,98059,47.4783,-122.123,2670,4180,13.060479463011728,0.638755980861244
8700100010,20140710T000000,315000,3,2.5,2340,6837,2.0,0,0,3,7,2340,0,1992,0,98030,47.3608,-122.194,1850,6209,12.660331092405906,0.29795458205830244
7231501610,20141023T000000,327000,4,1.0,1620,6000,1.5,0,0,5,7,1620,0,1905,0,98055,47.4763,-122.206,1310,6000,12.69771850797869,0.21833333333333332
