id,predicted_price
2591820310,384682.1
7974200820,918916.2
7701450110,1116834.9
9522300010,2048136.0
9510861140,723642.4
1761300310,268009.94
7732410120,794134.6
7010701383,619689.3
291310170,409420.2
4232901990,581252.1
6840701125,561256.5
3971700580,369987.44
4202400078,251818.1
6064800090,370185.8
2626119028,271844.22
3303980660,1023643.25
862000020,585805.9
2386000070,947161.25
1138000450,364230.8
1775800420,457418.28
2291401425,425387.94
2025770560,907121.56
3525069037,698603.1
9324800450,607309.44
8080400136,542026.8
8651540040,511819.88
9407001790,253508.42
1773101530,207704.5
9432900250,342337.75
1794500695,603477.56
2220069003,335325.94
923000120,459435.9
5728000060,538214.56
16000200,242240.12
1926059094,453900.6
6672900220,966784.2
3629860060,857931.75
1822069109,427460.72
6675500105,360330.88
249000180,1777573.6
226059065,439928.8
396100110,280542.53
9264450460,311880.1
7853361210,405294.1
9474700020,308234.5
421000455,249886.53
3755200220,443311.16
7960100075,488966.78
9477100490,373175.7
9138100350,729338.1
1624049275,462394.16
2770606890,532016.2
1157200189,399287.3
2770601800,492220.78
9301300805,495202.16
2325069032,1170025.6
1021079099,386697.38
7215730040,770693.25
1853200080,462354.03
3224600340,721988.7
3222049120,440544.3
2113700025,282258.2
7893207925,206432.94
3586501085,564618.3
8024200010,414518.97
7116500705,169177.98
1598600209,322999.94
7204200025,789269.25
4206901505,526212.3
2937300440,875965.9
7205000180,336565.8
8718500665,399677.44
5318101765,830435.2
4122700020,966968.6
8078700020,502292.44
3303980680,905855.94
8924100372,1168740.9
2781270210,208979.5
519000043,551956.7
3225069301,1221746.6
151000075,672375.25
2297400020,452391.5
6617500085,668789.5
104510180,232149.17
3528900060,960549.56
3345100286,544046.5
1226039130,441825.47
8712100720,749098.1
3037200010,395869.94
3626039268,409137.2
104510230,245584.12
5112800060,387140.56
6072400280,669226.5
5317100570,1027150.94
9528102993,560829.5
2919201095,466540.62
6181400920,272715.12
185000161,243169.9
8691400010,714727.56
3345700165,562751.3
6151800486,222347.5
4340000080,1274223.0
4136960010,573875.25
3634100030,348739.72
1624059224,1071027.0
2788400090,274686.1
9828200762,465260.97
7524400250,560016.6
3528000290,772004.1
5700003630,1860104.8
2720069019,271260.22
7227501170,240498.28
2397101270,569038.5
6792100090,727068.6
2770602265,500019.38
3971700937,295361.5
422049203,223745.66
3076500830,296350.72
1423400260,300976.53
9161100795,439010.94
3126049052,491978.62
5100401468,385681.25
514500235,414920.8
1423200170,187111.69
1402100070,433120.72
624110020,737596.25
2407000145,209144.58
1890000225,770475.75
1320069271,360032.38
5490700085,384806.84
263000155,482412.28
3726800201,424411.75
5153200358,313380.38
2725079018,760345.6
7165700200,256911.9
9429000170,564125.25
8718500075,354827.7
1760650950,303890.75
1068000559,1255673.4
4113800500,705426.6
4077800507,534358.25
2725069150,779855.3
4008400035,648964.5
7016310270,411175.12
1432701230,218948.95
3278606050,318720.94
2473350710,402831.34
2185000685,191142.9
7792000025,410296.88
6868200029,467158.12
624069003,740112.5
7431500280,808512.0
3296000040,571850.0
1118001215,1399962.2
6453900040,758406.2
333100209,699544.5
34001765,641349.4
8946700100,395920.9
5561401210,606128.5
6671900095,370464.8
3275850020,712504.9
3876300600,409532.62
1450900020,265804.1
8562780280,306511.75
7663700973,315320.0
2126049032,373239.06
1823059159,169812.44
3438503426,291309.16
9297301495,523538.8
7140700850,365338.84
7942601805,719013.44
2555900030,360509.25
2887970040,283874.38
7419700010,620005.56
2239000011,385782.4
9283800050,377192.72
9407001340,281702.84
217500140,541832.44
7212660520,242343.64
3298201170,347096.0
3057000400,298272.84
6865200444,520244.94
6071600340,525421.0
6821600005,672875.6
1235100371,760635.0
7796450340,349996.8
3603000410,168977.39
9297300255,504495.5
9126100850,549099.0
2770601462,532391.25
2599001500,243896.16
1102000095,791980.6
1853080640,910217.8
9551201585,1016055.94
3438500796,352833.75
7518504291,535133.44
9269200340,418305.9
715010130,1335612.5
1982201485,671387.9
9526500080,378031.44
9277200180,414729.75
6669150280,289030.03
8917100153,604820.0
3760500516,1005169.0
2725069050,973373.94
3332000091,310985.8
8562770080,597340.0
8151601190,256666.53
8563040160,604708.1
240000269,709802.2
4307350200,312951.78
1311910300,275485.2
3574900030,507105.6
7853230570,432089.3
320069049,366585.16
9839301060,626558.9
7011201333,654900.1
2781320100,281394.06
3421069120,470732.75
7852030320,451789.62
5316101075,2331252.8
5309100750,526038.2
629000730,682498.75
511700170,287142.28
1562100030,562751.9
2489200230,506575.34
524069116,517026.03
5315100737,884818.6
1868900675,807760.5
1608000120,347781.88
705700240,343565.22
7575600610,270306.53
1778500015,662682.5
5423500240,193912.61
6713700025,352783.94
2734100734,303491.06
301402280,210135.62
2113700205,262890.06
4114601570,2863658.5
3332000615,320164.34
3630050180,361069.06
6852700520,514680.88
6870310010,598705.3
6163900981,314977.38
393000142,377456.12
1771100130,336545.62
1442860160,398189.84
9191200435,548427.0
6788200800,1003686.2
1115300070,660534.06
3176600105,789403.25
2770604665,576130.1
5469500580,378384.9
5680000545,474361.44
3424089119,575117.3
1328300180,345127.72
1773100922,342427.56
4123830480,333145.7
9808610190,951282.9
4250200140,272138.1
4217402115,3482090.8
3831250350,363635.94
2397101055,748631.06
6817850110,827906.4
7526800200,602389.1
